,precision,recall,f1-score,support
CANDIDATE,0.43197278911564624,0.6414141414141414,0.516260162601626,396.0
CONFIRMED,0.6558641975308642,0.7741347905282332,0.7101086048454469,549.0
FALSE POSITIVE,0.8951255539143279,0.6260330578512396,0.7367781155015197,968.0
accuracy,0.6717198118139048,0.6717198118139048,0.6717198118139048,0.6717198118139048
macro avg,0.6609875135202795,0.6805273299312047,0.6543822943161975,1913.0
weighted avg,0.7305866205558336,0.6717198118139048,0.6834761444097571,1913.0
