kepoi_name,koi_disposition,koi_period,koi_duration,koi_depth,koi_prad,koi_steff,koi_slogg,koi_srad,koi_kepmag,koi_depth_missing,koi_prad_missing,koi_srad_missing,koi_steff_missing,koi_slogg_missing,koi_period_log,koi_depth_log,koi_prad_log,koi_srad_log
K06048.02,FALSE POSITIVE,0.80489537,0.92,70.8,1.08,5780.0,4.438,1.0,11.427,1,1,1,1,1,0.590502623345704,4.273884476054178,0.7323678937132266,0.6931471805599453
K06245.03,FALSE POSITIVE,276.32360146,9.8964,81.3,1.21,6528.0,4.257,1.26,12.431,0,0,0,0,0,5.6251850606479765,4.410371107683024,0.7929925155296614,0.8153648132841945
K00082.05,CONFIRMED,5.28691996,2.579,41.5,0.51,4900.0,4.602,0.741,11.492,0,0,0,0,0,1.838471278287595,3.7495040759303713,0.412109650826833,0.554459660786052
K00512.01,CONFIRMED,6.51003001,3.3095,602.8,2.78,5638.0,4.327,1.153,14.825,0,0,0,0,0,2.0162394617733854,6.403243017272739,1.3297240096314962,0.766862218382226
K00513.01,CONFIRMED,35.18105723,7.545,987.7,4.17,6520.0,4.375,1.215,14.856,0,0,0,0,0,3.5885357009332473,6.896390948903087,1.6428726885203377,0.795252403497099
K00514.01,FALSE POSITIVE,11.75560012,4.7,648.8,22.39,5644.0,4.575,0.806,14.356,0,0,0,0,0,2.545970400271367,6.476664623235,3.1523085805960878,0.5911144549947938
K00515.01,FALSE POSITIVE,17.79421914,4.1918,1549.4,25.27,5485.0,4.574,0.805,14.427,0,0,0,0,0,2.9335493299971835,7.346268241136502,3.2684276036974484,0.5905605917848442
K07625.01,FALSE POSITIVE,6.12601169,1.733,40.2,0.83,5679.0,4.146,1.286,12.975,0,0,0,0,0,1.9637517076538116,3.7184382563554808,0.6043159668533296,0.8268035653726189
K00567.03,CONFIRMED,29.02235217,4.0263,637.6,2.55,5788.0,4.524,0.848,14.338,0,0,0,0,0,3.4019421765668922,6.459278280280682,1.2669476034873244,0.6141039732194924
K00568.01,CONFIRMED,3.383540239,1.403,255.7,1.65,5300.0,4.385,0.986,14.14,0,0,0,0,0,1.4778566716553343,5.5479080878770946,0.9745596399981308,0.6861225656229808
K00568.02,CONFIRMED,2.358952404,1.593,94.1,0.96,5300.0,4.385,0.986,14.14,0,0,0,0,0,1.2116291408364035,4.554928969551344,0.6729444732424258,0.6861225656229808
K00569.01,CONFIRMED,20.72904234,2.8066,561.7,1.94,4979.0,4.538,0.803,14.458,0,0,0,0,0,3.0786497224274236,6.332746626439233,1.0784095813505903,0.5894519442211803
K00569.02,CONFIRMED,1.632916419,1.5599,209.2,1.13,4979.0,4.538,0.803,14.458,0,0,0,0,0,0.9680921363718972,5.348059458442851,0.7561219797213337,0.5894519442211803
K04773.02,CANDIDATE,11.1438086,7.905,41.7,0.75,6095.0,4.349,1.11,13.556,0,0,0,0,0,2.496819459659505,3.754198920234579,0.5596157879354227,0.7466879474879752
K00410.01,FALSE POSITIVE,7.216951388,1.89082,4284.5,41.57,6266.0,4.38,1.056,14.454,0,0,0,0,0,2.1061992629038038,8.362992510338938,3.751149779840061,0.7207623475929187
K00411.01,FALSE POSITIVE,15.85238672,5.179,928.5,32.21,5903.0,4.322,1.005,14.508,0,0,0,0,0,2.8244922918715076,6.834646807161499,3.5028510353886553,0.6956440607585325
K00412.01,CONFIRMED,4.147021189,2.8997,3680.7,7.31,5818.0,4.266,1.205,14.288,0,0,0,0,0,1.6384181374291924,8.211129881015651,2.1174596088673567,0.7907275088988094
K00413.01,CONFIRMED,15.22895514,2.5967,1124.8,3.0,5456.0,4.562,0.812,14.769,0,0,0,0,0,2.786797001142359,7.026249173029926,1.3862943611198906,0.5944312076207876
K00413.02,CONFIRMED,24.67458244,3.2648,650.6,2.33,5456.0,4.562,0.812,14.769,0,0,0,0,0,3.245501492391234,6.47943087672789,1.2029723039923526,0.5944312076207876
K04846.02,CANDIDATE,32.526674,6.842,204.9,1.26,5668.0,4.545,0.868,15.23,0,0,0,0,0,3.512341360807043,5.327390614033744,0.8153648132841945,0.6248683398066509
K00469.01,CANDIDATE,10.32906563,1.44,2309.8,6.17,6228.0,4.441,1.049,14.711,0,0,0,0,0,2.4273716029719323,7.745349063907111,1.969905654611529,0.7173518692567626
K00470.01,CONFIRMED,3.750832927,1.9457,2397.9,4.61,5776.0,4.512,0.95,14.749,0,0,0,0,0,1.5583199557266318,7.782765577935876,1.724550719534605,0.6678293725756554
K00471.01,CONFIRMED,21.34736612,4.184,630.5,3.2,5395.0,4.324,1.071,14.415,0,0,0,0,0,3.106708467135211,6.448097941790546,1.4350845252893227,0.7280315824134471
K00471.02,CONFIRMED,7.81100952,3.231,126.7,1.36,5395.0,4.324,1.071,14.415,0,0,0,0,0,2.1760020213516063,4.8496837630384935,0.8586616190375187,0.7280315824134471
K00472.01,CONFIRMED,4.243748097,3.3603,1409.7,3.16,5873.0,4.554,0.843,15.0,0,0,0,0,0,1.6570365283250894,7.2518413140804565,1.425515074273172,0.6113946786876863
K06612.02,FALSE POSITIVE,2.404483552,0.2961,0.8,0.48,6050.0,3.823,2.345,13.173,0,0,0,0,0,1.22509325467646,0.5877866649021191,0.3920420877760237,1.2074666935801919
K00516.01,FALSE POSITIVE,13.54204116,3.334,338.7,2.01,5891.0,4.395,1.015,14.53,0,0,0,0,0,2.677043844646085,5.828062875166538,1.1019400787607843,0.7006191953986463
K00517.01,CONFIRMED,2.752359689,2.0722,791.9,2.54,5461.0,4.499,0.897,14.034,0,0,0,0,0,1.3223848924872992,6.675697110278353,1.264126727145683,0.6402736909528771
K00518.01,CONFIRMED,13.98177862,2.958,1018.4,2.09,4859.0,4.615,0.651,14.287,0,0,0,0,0,2.7068347040181746,6.926969497905941,1.128171090909654,0.501381164937991
K00518.02,CONFIRMED,44.0003975,5.1115,599.6,1.56,4859.0,4.615,0.651,14.287,0,0,0,0,0,3.8066713230646396,6.39792915554923,0.9400072584914712,0.501381164937991
K00518.03,CONFIRMED,247.354914,8.677,1291.8,2.29,4859.0,4.615,0.651,14.287,0,0,0,0,0,5.514858827949111,7.164565687766831,1.1908875647772805,0.501381164937991
K07626.01,FALSE POSITIVE,462.12069,10.42,633.7,2.46,6079.0,4.411,0.974,14.936,0,0,0,0,0,6.137987689664267,6.453152446312425,1.2412685890696329,0.6800619410112898
