tfopwg_disp,dec,st_pmraerr1,st_pmraerr2,st_pmdecerr1,st_pmdecerr2,pl_tranmiderr1,pl_tranmiderr2,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_trandurherr1,pl_trandurherr2,pl_trandep,pl_trandeperr1,pl_trandeperr2,pl_rade,pl_radeerr1,pl_radeerr2,st_tmag,st_tmagerr1,st_tmagerr2,st_disterr1,st_disterr2,st_teff,st_tefferr1,st_tefferr2,st_logg,st_loggerr1,st_loggerr2,st_rad,st_raderr1,st_raderr2,disp_3class,log_orbper,sqrt_pl_rade,log_trandep,rel_radius,depth_norm,compactness
FP,-31.933523,0.063,-0.063,0.071,-0.071,0.000512,-0.000512,5.4255548,0.0002073,-0.0002073,0.0211401,-0.0211401,14939.6342222,238.97354,-238.97354,,,,7.6095,0.006,-0.006,9.32,-9.32,8868.7,809.8,-809.8,,,,,,,False,1.8602829772478726,,23.42728353329916,,,
FP,-34.22282,0.078,-0.078,0.141,-0.141,0.000309,-0.000309,1.4095184,2.3e-06,-2.3e-06,0.0413901,-0.0413901,2841.5103258,51.88166,-51.88166,,,,7.678,0.012,-0.012,2.8445,-2.8445,9307.0,938.9,-938.9,,,,,,,False,0.8794268935081883,,21.767601552972515,,,
FP,-27.971896,0.052,-0.052,0.053,-0.053,0.004221,-0.004221,1.3730466,6.7e-06,-6.7e-06,0.1950537,-0.1950537,1301.5065338,96.64637,-96.64637,42.1479417,46.48904,-46.48904,10.7069,0.008,-0.008,28.8415,-28.8415,4897.0,122.0,-122.0,,,,6.7996101,,,False,0.8641746148503606,6.492144614840307,20.986788303362086,6.198582136349259,191.40899473044786,0.20193019596814824
FP,-36.098285,0.048,-0.048,0.052,-0.052,0.006715,-0.006715,12.6889415,0.0095088,-0.0095088,0.5393766,-0.5393766,3232.8527885,235.25328,-235.25328,14.0608342,15.241591,-15.241591,10.6257,0.006,-0.006,3.784,-3.784,7601.0,135.8,-135.8,4.31,0.08,-0.08,1.53641,0.0479799,-0.0479799,False,2.6165883170999704,3.7497778867554277,21.8966308009382,9.151746083402216,2104.160210165255,8.258825118295247
FP,-37.78325,0.045,-0.045,0.045,-0.045,0.00137,-0.00137,1.10422,0.00013,-0.00013,0.062,-0.062,14177.7,843.788,-843.788,21.0448,5.22012,-5.22012,10.6019,0.006,-0.006,4.7245,-4.7245,6995.2,157.0,-157.0,4.07,0.55,-0.55,1.61,0.07,-0.07,False,0.743944852146804,4.587461171497804,23.374936144682952,13.071304347826086,8806.024844720498,0.6858509316770186
FP,-50.266567,0.049,-0.049,0.047,-0.047,0.00073,-0.00073,4.95912,0.00016,-0.00016,0.13,-0.13,7440.0,197.962,-197.962,22.9123,3.28055,-3.28055,10.6254,0.006,-0.006,2.9645,-2.9645,5889.0,124.3,-124.3,3.86,0.07,-0.07,2.0,0.09,-0.09,False,1.784922819169064,4.786679433594859,22.73013668592582,11.45615,3720.0,2.47956
PC,-54.878552,0.047,-0.047,0.061,-0.061,0.00012,-0.00012,5.2341008,1.2e-06,-1.2e-06,0.0125204,-0.0125204,20796.9416293,50.80361,-50.80361,24.2931408,0.7497171,-0.7497171,10.6348,0.006,-0.006,4.1635,-4.1635,7645.0,134.4,-134.4,4.3,0.08,-0.08,1.56203,0.0481257,-0.0481257,Candidate,1.8300343506080698,4.928807239079248,23.758071775837877,15.552288240302683,13314.047508242478,3.3508324423986737
KP,-63.988329,0.037,-0.037,0.037,-0.037,0.000126,-0.000126,4.4119378,8e-07,-8e-07,0.011,-0.011,15062.0,69.1814,-69.1814,15.4706,0.691963,-0.691963,9.7109,0.006,-0.006,0.588,-0.588,6280.0,,,4.32092,,,1.21,0.05,-0.05,Planet,1.6886072172639306,3.9332683610453025,23.435440852691965,12.785619834710744,12447.933884297521,3.646229586776859
FP,-43.828421,0.051,-0.051,0.047,-0.047,0.00241,-0.00241,3.28892,0.00066,-0.00066,0.202,-0.202,10518.9,530.608,-530.608,,,,10.7173,0.013,-0.013,23.8635,-23.8635,8734.2,283.6,-283.6,4.1,1.45,-1.45,,,,False,1.4560349529942669,,23.076439476146334,,,
FP,-42.999149,0.046,-0.046,0.051,-0.051,0.00426,-0.00426,1.90879,0.00035,-0.00035,0.231,-0.231,618.482,1.43774,-1.43774,3.34688,0.217749,-0.217749,10.5551,0.006,-0.006,1.579,-1.579,6022.6,133.5,-133.5,4.52,0.39,-0.39,1.22,0.05,-0.05,False,1.0677371871513288,1.829448004180496,20.242778648322442,2.743344262295082,506.95245901639345,1.5645819672131147
FA,-5.788708,0.09,-0.09,0.077,-0.077,0.00834,-0.00834,3.09574,0.00677,-0.00677,1.196,-1.196,380.0,,,3.4262,0.778713,-0.778713,8.72924,0.007,-0.007,1.068,-1.068,6084.0,111.0,-111.0,4.13,0.3,-0.3,1.41,0.05,-0.05,False,1.4099474091599844,1.8509997298757233,19.755681813316283,2.4299290780141845,269.5035460992908,2.1955602836879433
FP,-51.345626,0.042,-0.042,0.04,-0.04,0.003015,-0.003015,1.3214483,2.31e-05,-2.31e-05,0.071,-0.071,2180.0,137.946,-137.946,21.8839,4.01475,-4.01475,9.697,0.006,-0.006,2.247,-2.247,5050.8,86.8,-86.8,3.56,0.4,-0.4,2.99,0.15,-0.15,False,0.8421912581458598,4.678023086732257,21.502590714206125,7.319030100334448,729.0969899665552,0.44195595317725744
FP,-72.422611,0.044,-0.044,0.047,-0.047,0.00592,-0.00592,18.0157,0.00015,-0.00015,0.403,-0.403,610.0,1.66317,-1.66317,21.644,,,10.0814,0.006,-0.006,12.113,-12.113,4709.0,122.0,-122.0,,,,7.61,,,False,2.9452649537449744,4.6523112535598905,20.228969516770974,2.844152431011826,80.15768725361366,2.3673718791064386
PC,-51.517114,0.168,-0.168,0.178,-0.178,9.2e-05,-9.2e-05,9.6837921,9e-07,-9e-07,0.0086986,-0.0086986,4238.2399008,15.838111,-15.838111,,,,5.5324,0.006,-0.006,1.713,-1.713,8598.7,1245.7,-1245.7,,,,,,,Candidate,2.3687278360542674,,22.167413902505157,,,
FP,-51.759442,0.047,-0.047,0.039,-0.039,0.00363,-0.00363,14.2628757,3.85e-05,-3.85e-05,0.466316,-0.466316,913.2067174,37.2772746,-37.2772746,2.4765813,0.1510812,-0.1510812,9.9138,0.006,-0.006,0.2575,-0.2575,5690.0,129.0,-129.0,4.58,0.08,-0.08,0.853898,0.0413895,-0.0413895,False,2.725423455022473,1.573715762137496,20.632472829579275,2.9003245118269394,1069.4564425727663,16.70325460417989
PC,-29.653135,0.073,-0.073,0.057,-0.057,0.001406,-0.001406,3.2834565,4.6e-06,-4.6e-06,0.709,-0.709,1558.0,185.42,-185.42,2.87648,0.314177,-0.314177,10.2103,0.006,-0.006,0.13245,-0.13245,4272.0,122.7,-122.7,4.6,0.11,-0.11,0.68,0.06,-0.06,Candidate,1.454760277123519,1.6960188678195771,21.166668785036816,4.230117647058823,2291.176470588235,4.828612499999999
PC,-29.653135,0.073,-0.073,0.057,-0.057,0.002913,-0.002913,11.02875,3.54e-05,-3.54e-05,0.404,-0.404,1694.0,104.432,-104.432,2.76586,0.268927,-0.268927,10.2103,0.006,-0.006,0.13245,-0.13245,4272.0,122.7,-122.7,4.6,0.11,-0.11,0.68,0.06,-0.06,Candidate,2.4872996176884734,1.663087490182041,21.250358433766593,4.067441176470588,2491.176470588235,16.21875
PC,-29.653135,0.073,-0.073,0.057,-0.057,0.002567,-0.002567,5.0113292,1.2e-05,-1.2e-05,0.471,-0.471,1210.0,182.035,-182.035,2.52314,0.302798,-0.302798,10.2103,0.006,-0.006,0.13245,-0.13245,4272.0,122.7,-122.7,4.6,0.11,-0.11,0.68,0.06,-0.06,Candidate,1.7936458888192612,1.588439485784712,20.91388619738151,3.7105,1779.4117647058822,7.369601764705881
FP,-51.705409,0.054,-0.054,0.056,-0.056,0.00412,-0.00412,1.01606,0.00034,-0.00034,0.278,-0.278,240.0,0.375709,-0.375709,1.20704,0.0989898,-0.0989898,7.9059,0.006,-0.006,0.02025,-0.02025,4634.0,120.9,-120.9,4.64,0.09,-0.09,0.68,0.05,-0.05,False,0.7011451116710073,1.0986537216065853,19.29614948547293,1.7750588235294116,352.94117647058823,1.494205882352941
FP,-65.958839,,,,,0.00096,-0.00096,36.22214,0.00046,-0.00046,0.188,-0.188,7170.0,228.173,-228.173,,,,6.841,0.0,0.0,,,,,,,,,,,,False,3.6169037455311837,,22.69317149169741,,,
KP,-24.428694,0.07,-0.07,0.051,-0.051,0.000586,-0.000586,3.547854,0.000149,-0.000149,0.049205,-0.049205,10424.3718,123.359314,-123.359314,14.581841,0.196435,-0.196435,11.5232,0.008,-0.008,7.752,-7.752,6351.0,,,4.22896,,,1.4,,,Planet,1.5146554733501414,3.8186176818320003,23.067412343918754,10.415600714285716,7445.979857142858,2.534181428571429
